2424	5122	82.1	156	28	0	1	156	299	454	6.8e-80	282.3
5118	5118	100.0	186	0	0	1	186	1	186	2.8e-104	363.6
5119	5119	100.0	344	0	0	1	344	1	344	2.2e-203	693.7
5120	5120	100.0	1098	0	0	1	1098	1	1098	0.0e+00	2213.0
5121	5121	100.0	546	0	0	1	546	1	546	0.0e+00	1133.2
5122	5122	100.0	522	0	0	1	522	1	522	0.0e+00	1088.9
5123	5123	100.0	102	0	0	1	102	1	102	8.5e-55	198.4
5124	5124	100.0	67	0	0	1	67	1	67	6.6e-40	148.3
5125	5125	100.0	349	0	0	1	349	1	349	3.1e-213	726.5
5126	5126	100.0	839	0	0	1	839	1	839	0.0e+00	1688.7
5127	5127	100.0	69	0	0	1	69	1	69	1.2e-36	137.5
5128	5128	100.0	185	0	0	1	185	1	185	6.2e-112	389.0
9219	5123	98.0	50	1	0	1	50	53	102	5.3e-26	101.7
11895	5123	89.6	77	8	0	1	77	26	102	8.8e-37	138.3
15090	5122	78.0	513	108	2	1	508	10	522	5.6e-248	842.4
